Unnamed: 0,Gene1,Gene2
738,gene604,gene1006
739,gene605,gene805
740,gene605,gene686
741,gene606,gene805
742,gene606,gene686
743,gene607,gene805
744,gene607,gene686
745,gene608,gene805
746,gene608,gene686
747,gene609,gene805
748,gene609,gene686
749,gene610,gene805
750,gene611,gene805
751,gene612,gene805
752,gene613,gene686
753,gene614,gene686
754,gene615,gene1006
755,gene616,gene1006
756,gene617,gene232
757,gene618,gene686
758,gene619,gene686
759,gene620,gene686
760,gene621,gene805
761,gene621,gene1006
762,gene622,gene232
763,gene623,gene232
764,gene624,gene232
765,gene625,gene1006
766,gene626,gene2
767,gene627,gene1006
768,gene627,gene2
769,gene628,gene1006
770,gene629,gene1006
771,gene630,gene1006
772,gene631,gene408
773,gene632,gene1006
774,gene632,gene408
775,gene633,gene408
776,gene634,gene408
777,gene635,gene1006
778,gene635,gene408
779,gene636,gene408
780,gene637,gene686
781,gene637,gene1006
782,gene637,gene805
783,gene638,gene686
784,gene638,gene1006
785,gene638,gene805
786,gene639,gene686
787,gene639,gene1006
788,gene639,gene805
789,gene640,gene686
790,gene640,gene1006
791,gene640,gene805
792,gene641,gene686
793,gene641,gene1006
794,gene641,gene805
795,gene642,gene686
796,gene642,gene1006
797,gene642,gene805
798,gene643,gene686
799,gene643,gene1006
800,gene643,gene805
801,gene644,gene686
802,gene644,gene805
803,gene645,gene686
804,gene645,gene805
805,gene646,gene686
806,gene646,gene805
807,gene647,gene686
808,gene647,gene805
809,gene648,gene686
810,gene648,gene805
811,gene649,gene686
812,gene649,gene805
813,gene650,gene686
814,gene650,gene805
815,gene651,gene686
816,gene651,gene805
817,gene651,gene1006
818,gene652,gene2
819,gene653,gene2
820,gene654,gene2
821,gene655,gene2
822,gene656,gene2
823,gene657,gene1006
824,gene658,gene232
825,gene659,gene232
826,gene660,gene686
827,gene661,gene686
828,gene662,gene686
829,gene663,gene686
830,gene664,gene686
831,gene665,gene686
832,gene666,gene686
833,gene666,gene805
834,gene667,gene686
835,gene667,gene805
836,gene668,gene686
837,gene668,gene805
838,gene669,gene1006
839,gene670,gene686
840,gene670,gene805
841,gene671,gene686
842,gene671,gene805
843,gene672,gene232
844,gene673,gene232
845,gene674,gene686
846,gene674,gene232
847,gene675,gene232
848,gene676,gene232
849,gene677,gene686
850,gene677,gene232
851,gene678,gene232
852,gene679,gene232
853,gene680,gene686
854,gene680,gene805
855,gene680,gene1006
856,gene681,gene686
857,gene681,gene805
858,gene681,gene1006
859,gene682,gene686
860,gene682,gene805
861,gene682,gene1006
862,gene683,gene686
863,gene683,gene805
864,gene683,gene1006
865,gene684,gene686
866,gene684,gene805
867,gene684,gene1006
868,gene685,gene686
869,gene685,gene805
870,gene685,gene1006
871,gene687,gene686
872,gene687,gene805
873,gene687,gene1006
874,gene688,gene686
875,gene688,gene805
876,gene689,gene686
877,gene689,gene805
878,gene690,gene686
879,gene690,gene805
880,gene691,gene686
881,gene691,gene805
882,gene692,gene686
883,gene692,gene805
884,gene693,gene686
885,gene693,gene805
886,gene694,gene686
887,gene694,gene805
888,gene695,gene686
889,gene695,gene805
890,gene696,gene686
891,gene696,gene805
892,gene697,gene686
893,gene697,gene805
894,gene698,gene686
895,gene698,gene805
896,gene699,gene686
897,gene699,gene805
898,gene700,gene686
899,gene700,gene805
900,gene701,gene408
901,gene702,gene408
902,gene703,gene2
903,gene704,gene232
904,gene704,gene686
905,gene705,gene1006
906,gene705,gene408
907,gene705,gene805
908,gene706,gene1006
909,gene706,gene408
910,gene706,gene805
911,gene707,gene805
912,gene708,gene686
913,gene709,gene686
914,gene710,gene1006
915,gene711,gene1006
916,gene712,gene805
917,gene713,gene805
918,gene714,gene805
919,gene715,gene805
920,gene716,gene805
921,gene717,gene1006
922,gene718,gene1006
923,gene719,gene805
924,gene720,gene805
925,gene721,gene805
926,gene722,gene805
927,gene723,gene805
928,gene724,gene805
929,gene725,gene805
930,gene726,gene805
931,gene727,gene805
932,gene728,gene805
933,gene729,gene805
934,gene730,gene805
935,gene731,gene805
936,gene732,gene2
937,gene733,gene686
938,gene734,gene686
939,gene735,gene232
940,gene736,gene1006
941,gene737,gene686
942,gene738,gene686
943,gene739,gene686
944,gene739,gene805
945,gene740,gene232
946,gene741,gene232
947,gene742,gene232
948,gene743,gene232
949,gene744,gene2
950,gene745,gene686
951,gene746,gene686
952,gene747,gene686
953,gene747,gene1006
954,gene748,gene232
955,gene749,gene232
956,gene750,gene2
957,gene751,gene686
958,gene751,gene805
959,gene752,gene686
960,gene753,gene2
961,gene754,gene232
962,gene755,gene2
963,gene756,gene2
964,gene757,gene2
965,gene758,gene2
966,gene759,gene2
967,gene760,gene1006
968,gene760,gene408
969,gene761,gene1006
970,gene762,gene686
971,gene763,gene2
972,gene764,gene2
973,gene765,gene686
974,gene765,gene805
975,gene766,gene686
976,gene766,gene805
977,gene767,gene232
978,gene768,gene232
979,gene769,gene232
980,gene770,gene232
981,gene771,gene232
982,gene772,gene232
983,gene773,gene232
984,gene774,gene2
985,gene775,gene1006
986,gene776,gene805
987,gene777,gene805
988,gene778,gene805
989,gene779,gene805
990,gene780,gene805
991,gene781,gene805
992,gene782,gene686
993,gene782,gene805
994,gene783,gene686
995,gene783,gene805
996,gene784,gene686
997,gene784,gene805
998,gene785,gene686
999,gene785,gene805
1000,gene786,gene686
1001,gene787,gene686
1002,gene788,gene686
1003,gene789,gene2
1004,gene790,gene2
1005,gene791,gene2
1006,gene792,gene2
1007,gene793,gene2
1008,gene794,gene2
1009,gene795,gene2
1010,gene796,gene2
1011,gene797,gene2
1012,gene798,gene686
1013,gene798,gene2
1014,gene799,gene686
1015,gene799,gene2
1016,gene800,gene2
1017,gene801,gene2
1018,gene802,gene686
1019,gene803,gene686
1020,gene804,gene686
1021,gene806,gene686
1022,gene807,gene2
1023,gene808,gene2
1024,gene809,gene232
1025,gene810,gene2
1026,gene811,gene1006
1027,gene812,gene1006
1028,gene813,gene232
1029,gene814,gene232
1030,gene815,gene2
1031,gene816,gene2
1032,gene817,gene1006
1033,gene818,gene1006
1034,gene819,gene1006
1035,gene820,gene1006
1036,gene821,gene1006
1037,gene822,gene1006
1038,gene823,gene1006
1039,gene824,gene1006
1040,gene825,gene1006
1041,gene826,gene1006
1042,gene827,gene686
1043,gene827,gene1006
1044,gene828,gene2
1045,gene829,gene2
1046,gene830,gene686
1047,gene831,gene2
1048,gene832,gene408
1049,gene832,gene686
1050,gene833,gene686
1051,gene834,gene686
1052,gene835,gene686
1053,gene836,gene686
1054,gene837,gene686
1055,gene838,gene686
1056,gene839,gene686
1057,gene839,gene1006
1058,gene840,gene686
1059,gene841,gene686
1060,gene842,gene686
1061,gene843,gene1006
1062,gene844,gene1006
1063,gene844,gene408
1064,gene844,gene805
1065,gene845,gene686
1066,gene845,gene2
1067,gene846,gene1006
1068,gene847,gene686
1069,gene848,gene686
1070,gene849,gene686
1071,gene850,gene2
1072,gene851,gene686
1073,gene852,gene686
1074,gene853,gene686
1075,gene854,gene232
1076,gene855,gene232
1077,gene856,gene232
1078,gene857,gene232
1079,gene858,gene232
1080,gene859,gene232
1081,gene860,gene232
1082,gene861,gene232
1083,gene862,gene232
1084,gene863,gene232
1085,gene864,gene232
1086,gene865,gene232
1087,gene866,gene232
1088,gene867,gene232
1089,gene868,gene232
1090,gene869,gene232
1091,gene870,gene232
1092,gene871,gene232
1093,gene872,gene232
1094,gene873,gene232
1095,gene874,gene232
1096,gene875,gene232
1097,gene876,gene1006
1098,gene877,gene1006
1099,gene878,gene1006
1100,gene879,gene2
1101,gene880,gene2
1102,gene881,gene805
1103,gene882,gene805
1104,gene883,gene2
1105,gene884,gene2
1106,gene885,gene2
1107,gene886,gene2
1108,gene887,gene2
1109,gene888,gene2
1110,gene889,gene2
1111,gene890,gene686
1112,gene891,gene686
1113,gene892,gene686
1114,gene893,gene232
1115,gene894,gene686
1116,gene895,gene686
1117,gene896,gene686
1118,gene897,gene686
1119,gene898,gene686
1120,gene899,gene232
1121,gene899,gene2
1122,gene900,gene232
1123,gene901,gene232
1124,gene902,gene232
1125,gene903,gene805
1126,gene904,gene805
1127,gene905,gene805
1128,gene906,gene2
1129,gene907,gene2
1130,gene908,gene1006
1131,gene909,gene232
1132,gene910,gene686
1133,gene910,gene805
1134,gene910,gene2
1135,gene911,gene805
1136,gene911,gene1006
1137,gene912,gene2
1138,gene913,gene2
1139,gene914,gene2
1140,gene915,gene1006
1141,gene916,gene805
1142,gene916,gene1006
1143,gene917,gene408
1144,gene917,gene232
1145,gene918,gene408
1146,gene918,gene232
1147,gene919,gene408
1148,gene919,gene232
1149,gene920,gene408
1150,gene920,gene232
1151,gene921,gene408
1152,gene921,gene232
1153,gene922,gene686
1154,gene923,gene1006
1155,gene923,gene686
1156,gene923,gene805
1157,gene924,gene1006
1158,gene924,gene686
1159,gene924,gene805
1160,gene925,gene1006
1161,gene925,gene686
1162,gene925,gene805
1163,gene926,gene1006
1164,gene926,gene686
1165,gene926,gene805
1166,gene927,gene1006
1167,gene927,gene686
1168,gene927,gene805
1169,gene928,gene232
1170,gene929,gene686
1171,gene929,gene805
1172,gene930,gene686
1173,gene930,gene805
1174,gene931,gene686
1175,gene931,gene805
1176,gene932,gene686
1177,gene932,gene805
1178,gene933,gene805
1179,gene933,gene1006
1180,gene934,gene805
1181,gene934,gene1006
1182,gene935,gene805
1183,gene935,gene1006
1184,gene936,gene805
1185,gene936,gene1006
1186,gene937,gene805
1187,gene937,gene1006
1188,gene938,gene805
1189,gene938,gene1006
1190,gene939,gene1006
1191,gene940,gene686
1192,gene941,gene686
1193,gene942,gene1006
1194,gene943,gene1006
1195,gene944,gene1006
1196,gene945,gene1006
1197,gene946,gene686
1198,gene946,gene805
1199,gene947,gene686
1200,gene947,gene805
1201,gene948,gene686
1202,gene948,gene805
1203,gene949,gene686
1204,gene949,gene805
1205,gene950,gene686
1206,gene950,gene805
1207,gene951,gene686
1208,gene951,gene805
1209,gene952,gene686
1210,gene952,gene805
1211,gene953,gene232
1212,gene954,gene1006
1213,gene955,gene1006
1214,gene956,gene1006
1215,gene957,gene232
1216,gene958,gene232
1217,gene959,gene232
1218,gene960,gene232
1219,gene961,gene2
1220,gene962,gene2
1221,gene963,gene2
1222,gene964,gene2
1223,gene965,gene1006
1224,gene966,gene232
1225,gene967,gene2
1226,gene968,gene2
1227,gene969,gene2
1228,gene970,gene1006
1229,gene971,gene232
1230,gene972,gene686
1231,gene973,gene686
1232,gene973,gene232
1233,gene974,gene686
1234,gene974,gene232
1235,gene975,gene2
1236,gene976,gene232
1237,gene977,gene232
1238,gene978,gene686
1239,gene979,gene1006
1240,gene980,gene1006
1241,gene981,gene1006
1242,gene982,gene1006
1243,gene983,gene1006
1244,gene984,gene1006
1245,gene985,gene2
1246,gene986,gene1006
1247,gene987,gene1006
1248,gene988,gene1006
1249,gene989,gene408
1250,gene990,gene232
1251,gene991,gene1006
1252,gene992,gene1006
1253,gene993,gene805
1254,gene993,gene1006
1255,gene994,gene232
1256,gene995,gene232
1257,gene996,gene232
1258,gene997,gene686
1259,gene997,gene805
1260,gene998,gene686
1261,gene998,gene805
1262,gene999,gene2
1263,gene1000,gene408
1264,gene1001,gene1006
1265,gene1002,gene1006
1266,gene1003,gene1006
1267,gene1004,gene805
1268,gene1004,gene1006
1269,gene1005,gene805
1270,gene1005,gene1006
1271,gene1007,gene805
1272,gene1007,gene1006
1273,gene1008,gene805
1274,gene1008,gene1006
1275,gene1009,gene805
1276,gene1009,gene1006
1277,gene1010,gene805
1278,gene1010,gene1006
1279,gene1011,gene805
1280,gene1011,gene1006
1281,gene1012,gene1006
1282,gene1013,gene1006
1283,gene1014,gene686
1284,gene1015,gene686
1285,gene1016,gene408
1286,gene1016,gene805
1287,gene1017,gene805
1288,gene1018,gene686
1289,gene1019,gene1006
1290,gene1019,gene686
1291,gene1020,gene1006
1292,gene1021,gene1006
1293,gene1021,gene686
1294,gene1022,gene1006
1295,gene1023,gene1006
1296,gene1024,gene1006
1297,gene1025,gene232
1298,gene1026,gene232
1299,gene1027,gene232
1300,gene1028,gene232
1301,gene1029,gene1006
1302,gene1030,gene1006
1303,gene1031,gene1006
1304,gene1032,gene1006
1305,gene1033,gene1006
1306,gene1034,gene1006
1307,gene1035,gene1006
1308,gene1036,gene686
1309,gene1037,gene686
1310,gene1038,gene686
1311,gene1039,gene1006
1312,gene1040,gene1006
1313,gene1041,gene232
1314,gene1041,gene408
1315,gene1042,gene232
1316,gene1042,gene408
1317,gene1043,gene232
1318,gene1043,gene408
1319,gene1044,gene686
1320,gene1044,gene232
1321,gene1045,gene686
1322,gene1046,gene1006
1323,gene1047,gene2
1324,gene1048,gene2
1325,gene1049,gene2
1326,gene1050,gene686
1327,gene1051,gene686
1328,gene1052,gene2
1329,gene1053,gene2
1330,gene1054,gene2
1331,gene1055,gene2
1332,gene1056,gene686
1333,gene1057,gene1006
1334,gene1058,gene408
1335,gene1058,gene686
1336,gene1059,gene1006
1337,gene1060,gene686
1338,gene1061,gene232
1339,gene1062,gene232
1340,gene1063,gene232
1341,gene1064,gene1006
1342,gene1065,gene686
1343,gene1066,gene1006
1344,gene1067,gene686
1345,gene1068,gene2
1346,gene1069,gene2
1347,gene1071,gene1006
1348,gene1072,gene686
1349,gene1072,gene805
1350,gene1073,gene686
1351,gene1073,gene805
1352,gene1074,gene686
1353,gene1074,gene805
1354,gene1075,gene686
1355,gene1075,gene805
1356,gene1076,gene686
1357,gene1076,gene805
1358,gene1077,gene686
1359,gene1077,gene805
1360,gene1078,gene1006
1361,gene1079,gene1006
1362,gene1080,gene2
1363,gene1081,gene2
1364,gene1082,gene805
1365,gene1082,gene1006
1366,gene1083,gene1006
1367,gene1084,gene686
1368,gene1085,gene2
1369,gene1086,gene232
1370,gene1087,gene686
1371,gene1087,gene805
1372,gene1088,gene2
1373,gene1089,gene1006
1374,gene1090,gene686
1375,gene1091,gene686
1376,gene1091,gene1006
1377,gene1092,gene2
1378,gene1093,gene2
1379,gene1094,gene2
1380,gene1095,gene805
1381,gene1096,gene408
1382,gene1097,gene2
1383,gene1098,gene2
1384,gene1099,gene2
1385,gene1100,gene2
1386,gene1101,gene2
1387,gene1102,gene686
1388,gene1102,gene1006
1389,gene1103,gene805
1390,gene1104,gene805
1391,gene1105,gene805
1392,gene1106,gene805
1393,gene1107,gene805
1394,gene1108,gene805
1395,gene1109,gene1006
1396,gene1110,gene805
1397,gene1110,gene1006
1398,gene1111,gene805
1399,gene1111,gene1006
1400,gene1112,gene805
1401,gene1112,gene1006
1402,gene1113,gene805
1403,gene1113,gene1006
1404,gene1114,gene805
1405,gene1115,gene1006
1406,gene1116,gene232
1407,gene1117,gene1006
1408,gene1118,gene232
1409,gene1119,gene232
1410,gene1120,gene1006
1411,gene1121,gene1006
1412,gene1122,gene2
1413,gene1123,gene686
1414,gene1124,gene686
1415,gene1125,gene686
1416,gene1126,gene686
1417,gene1127,gene686
1418,gene1128,gene805
1419,gene1128,gene1006
1420,gene1129,gene232
1421,gene1130,gene1006
1422,gene1131,gene686
1423,gene1132,gene2
1424,gene1133,gene686
1425,gene1134,gene686
1426,gene1134,gene805
1427,gene1134,gene1006
1428,gene1135,gene1006
1429,gene1136,gene1006
1430,gene1137,gene1006
1431,gene1138,gene1006
1432,gene1139,gene2
